city_id,city_name,month,actual_trips,target_trips,performance_target,pct_difference
AP01,Visakhapatnam,April,4938,5000,"Below Target",98.76
AP01,Visakhapatnam,February,4793,4500,"Above Target",106.51
AP01,Visakhapatnam,January,4468,4500,"Below Target",99.29
AP01,Visakhapatnam,June,4478,5000,"Below Target",89.56
AP01,Visakhapatnam,March,4877,4500,"Above Target",108.38
AP01,Visakhapatnam,May,4812,5000,"Below Target",96.24
CH01,Chandigarh,April,5566,6000,"Below Target",92.77
CH01,Chandigarh,February,7387,7000,"Above Target",105.53
CH01,Chandigarh,January,6810,7000,"Below Target",97.29
CH01,Chandigarh,June,6029,6000,"Above Target",100.48
CH01,Chandigarh,March,6569,7000,"Below Target",93.84
CH01,Chandigarh,May,6620,6000,"Above Target",110.33
GJ01,Surat,April,9831,10000,"Below Target",98.31
GJ01,Surat,February,9069,9000,"Above Target",100.77
GJ01,Surat,January,8358,9000,"Below Target",92.87
GJ01,Surat,June,8544,10000,"Below Target",85.44
GJ01,Surat,March,9267,9000,"Above Target",102.97
GJ01,Surat,May,9774,10000,"Below Target",97.74
GJ02,Vadodara,April,5941,6500,"Below Target",91.40
GJ02,Vadodara,February,5228,6000,"Below Target",87.13
GJ02,Vadodara,January,4775,6000,"Below Target",79.58
GJ02,Vadodara,June,4685,6500,"Below Target",72.08
GJ02,Vadodara,March,5598,6000,"Below Target",93.30
GJ02,Vadodara,May,5799,6500,"Below Target",89.22
KA01,Mysore,April,2603,2500,"Above Target",104.12
KA01,Mysore,February,2668,2000,"Above Target",133.40
KA01,Mysore,January,2485,2000,"Above Target",124.25
KA01,Mysore,June,2842,2500,"Above Target",113.68
KA01,Mysore,March,2633,2000,"Above Target",131.65
KA01,Mysore,May,3007,2500,"Above Target",120.28
KL01,Kochi,April,9762,9000,"Above Target",108.47
KL01,Kochi,February,7688,7500,"Above Target",102.51
KL01,Kochi,January,7344,7500,"Below Target",97.92
KL01,Kochi,June,6399,9000,"Below Target",71.10
KL01,Kochi,March,9495,7500,"Above Target",126.60
KL01,Kochi,May,10014,9000,"Above Target",111.27
MP01,Indore,April,7415,7500,"Below Target",98.87
MP01,Indore,February,7210,7000,"Above Target",103.00
MP01,Indore,January,6737,7000,"Below Target",96.24
MP01,Indore,June,6288,7500,"Below Target",83.84
MP01,Indore,March,7019,7000,"Above Target",100.27
MP01,Indore,May,7787,7500,"Above Target",103.83
RJ01,Jaipur,April,11406,9500,"Above Target",120.06
RJ01,Jaipur,February,15872,13000,"Above Target",122.09
RJ01,Jaipur,January,14976,13000,"Above Target",115.20
RJ01,Jaipur,June,9842,9500,"Above Target",103.60
RJ01,Jaipur,March,13317,13000,"Above Target",102.44
RJ01,Jaipur,May,11475,9500,"Above Target",120.79
TN01,Coimbatore,April,3661,3500,"Above Target",104.60
TN01,Coimbatore,February,3404,3500,"Below Target",97.26
TN01,Coimbatore,January,3651,3500,"Above Target",104.31
TN01,Coimbatore,June,3158,3500,"Below Target",90.23
TN01,Coimbatore,March,3680,3500,"Above Target",105.14
TN01,Coimbatore,May,3550,3500,"Above Target",101.43
UP01,Lucknow,April,10212,11000,"Below Target",92.84
UP01,Lucknow,February,12060,13000,"Below Target",92.77
UP01,Lucknow,January,10858,13000,"Below Target",83.52
UP01,Lucknow,June,10240,11000,"Below Target",93.09
UP01,Lucknow,March,11224,13000,"Below Target",86.34
UP01,Lucknow,May,9705,11000,"Below Target",88.23
